name,name_link,gender,state,state_link,position,appointed_by,appointed_by_link
Robert Cooper Grier,https://en.wikipedia.org/wiki/Robert_Cooper_Grier,male,PA,https://en.wikipedia.org/wiki/Pennsylvania,"Associate
Justice",James K. Polk,https://en.wikipedia.org/wiki/James_K._Polk
Benjamin Robbins Curtis,https://en.wikipedia.org/wiki/Benjamin_Robbins_Curtis,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Millard Fillmore,https://en.wikipedia.org/wiki/Millard_Fillmore
John Archibald Campbell,https://en.wikipedia.org/wiki/John_Archibald_Campbell,male,AL,https://en.wikipedia.org/wiki/Alabama,"Associate
Justice",Franklin Pierce,https://en.wikipedia.org/wiki/Franklin_Pierce
Nathan Clifford,https://en.wikipedia.org/wiki/Nathan_Clifford,male,ME,https://en.wikipedia.org/wiki/Maine,"Associate
Justice",James Buchanan,https://en.wikipedia.org/wiki/James_Buchanan
Noah Haynes Swayne,https://en.wikipedia.org/wiki/Noah_Haynes_Swayne,male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
Samuel Freeman Miller,https://en.wikipedia.org/wiki/Samuel_Freeman_Miller,male,IA,https://en.wikipedia.org/wiki/Iowa,"Associate
Justice",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
David Davis,https://en.wikipedia.org/wiki/David_Davis_(senator),male,IL,https://en.wikipedia.org/wiki/Illinois,"Associate
Justice",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
Stephen Johnson Field,https://en.wikipedia.org/wiki/Stephen_Johnson_Field,male,CA,https://en.wikipedia.org/wiki/California,"Associate
Justice",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
Salmon P. Chase,https://en.wikipedia.org/wiki/Salmon_P._Chase,male,OH,https://en.wikipedia.org/wiki/Ohio,"Chief
Justice",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln
William Strong,https://en.wikipedia.org/wiki/William_Strong_(Pennsylvania_judge),male,PA,https://en.wikipedia.org/wiki/Pennsylvania,"Associate
Justice",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant
Joseph Philo Bradley,https://en.wikipedia.org/wiki/Joseph_Philo_Bradley,male,NJ,https://en.wikipedia.org/wiki/New_Jersey,"Associate
Justice",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant
Ward Hunt,https://en.wikipedia.org/wiki/Ward_Hunt,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant
Morrison Waite,https://en.wikipedia.org/wiki/Morrison_Waite,male,OH,https://en.wikipedia.org/wiki/Ohio,"Chief
Justice",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant
John Marshall Harlan,https://en.wikipedia.org/wiki/John_Marshall_Harlan,male,KY,https://en.wikipedia.org/wiki/Kentucky,"Associate
Justice",Rutherford B. Hayes,https://en.wikipedia.org/wiki/Rutherford_B._Hayes
William Burnham Woods,https://en.wikipedia.org/wiki/William_Burnham_Woods,male,GA,https://en.wikipedia.org/wiki/Georgia_(U.S._state),"Associate
Justice",Rutherford B. Hayes,https://en.wikipedia.org/wiki/Rutherford_B._Hayes
Stanley Matthews,https://en.wikipedia.org/wiki/Stanley_Matthews_(lawyer),male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",James Garfield,https://en.wikipedia.org/wiki/James_Garfield
Horace Gray,https://en.wikipedia.org/wiki/Horace_Gray,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Chester A. Arthur,https://en.wikipedia.org/wiki/Chester_A._Arthur
Samuel Blatchford,https://en.wikipedia.org/wiki/Samuel_Blatchford,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Chester A. Arthur,https://en.wikipedia.org/wiki/Chester_A._Arthur
Lucius Quintus Cincinnatus Lamar II,https://en.wikipedia.org/wiki/Lucius_Quintus_Cincinnatus_Lamar_II,male,MS,https://en.wikipedia.org/wiki/Mississippi,"Associate
Justice",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland
Melville Fuller,https://en.wikipedia.org/wiki/Melville_Fuller,male,IL,https://en.wikipedia.org/wiki/Illinois,"Chief
Justice",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland
David Josiah Brewer,https://en.wikipedia.org/wiki/David_Josiah_Brewer,male,KS,https://en.wikipedia.org/wiki/Kansas,"Associate
Justice",Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison
Henry Billings Brown,https://en.wikipedia.org/wiki/Henry_Billings_Brown,male,MI,https://en.wikipedia.org/wiki/Michigan,"Associate
Justice",Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison
"George Shiras, Jr.","https://en.wikipedia.org/wiki/George_Shiras,_Jr.",male,PA,https://en.wikipedia.org/wiki/Pennsylvania,"Associate
Justice",Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison
Howell Edmunds Jackson,https://en.wikipedia.org/wiki/Howell_Edmunds_Jackson,male,TN,https://en.wikipedia.org/wiki/Tennessee,"Associate
Justice",Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison
Edward Douglass White,https://en.wikipedia.org/wiki/Edward_Douglass_White,male,LA,https://en.wikipedia.org/wiki/Louisiana,"Associate
Justice",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland
Rufus Wheeler Peckham,https://en.wikipedia.org/wiki/Rufus_Wheeler_Peckham,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland
Joseph McKenna,https://en.wikipedia.org/wiki/Joseph_McKenna,male,CA,https://en.wikipedia.org/wiki/California,"Associate
Justice",William McKinley,https://en.wikipedia.org/wiki/William_McKinley
Oliver Wendell Holmes Jr.,https://en.wikipedia.org/wiki/Oliver_Wendell_Holmes_Jr.,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt
William R. Day,https://en.wikipedia.org/wiki/William_R._Day,male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt
William Henry Moody,https://en.wikipedia.org/wiki/William_Henry_Moody,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt
Horace Harmon Lurton,https://en.wikipedia.org/wiki/Horace_Harmon_Lurton,male,TN,https://en.wikipedia.org/wiki/Tennessee,"Associate
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
Charles Evans Hughes,https://en.wikipedia.org/wiki/Charles_Evans_Hughes,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
Edward Douglass White,https://en.wikipedia.org/wiki/Edward_Douglass_White,male,LA,https://en.wikipedia.org/wiki/Louisiana,"Chief
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
Willis Van Devanter,https://en.wikipedia.org/wiki/Willis_Van_Devanter,male,WY,https://en.wikipedia.org/wiki/Wyoming,"Associate
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
Joseph Rucker Lamar,https://en.wikipedia.org/wiki/Joseph_Rucker_Lamar,male,GA,https://en.wikipedia.org/wiki/Georgia_(U.S._state),"Associate
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
Mahlon Pitney,https://en.wikipedia.org/wiki/Mahlon_Pitney,male,NJ,https://en.wikipedia.org/wiki/New_Jersey,"Associate
Justice",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft
James Clark McReynolds,https://en.wikipedia.org/wiki/James_Clark_McReynolds,male,TN,https://en.wikipedia.org/wiki/Tennessee,"Associate
Justice",Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson
Louis Brandeis,https://en.wikipedia.org/wiki/Louis_Brandeis,male,KY,https://en.wikipedia.org/wiki/Kentucky,"Associate
Justice",Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson
John Hessin Clarke,https://en.wikipedia.org/wiki/John_Hessin_Clarke,male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson
William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft,male,CT,https://en.wikipedia.org/wiki/Connecticut,"Chief
Justice",Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding
George Sutherland,https://en.wikipedia.org/wiki/George_Sutherland,male,UT,https://en.wikipedia.org/wiki/Utah,"Associate
Justice",Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding
Pierce Butler,https://en.wikipedia.org/wiki/Pierce_Butler_(justice),male,MN,https://en.wikipedia.org/wiki/Minnesota,"Associate
Justice",Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding
Edward Terry Sanford,https://en.wikipedia.org/wiki/Edward_Terry_Sanford,male,TN,https://en.wikipedia.org/wiki/Tennessee,"Associate
Justice",Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding
Harlan F. Stone,https://en.wikipedia.org/wiki/Harlan_F._Stone,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Calvin Coolidge,https://en.wikipedia.org/wiki/Calvin_Coolidge
Charles Evans Hughes,https://en.wikipedia.org/wiki/Charles_Evans_Hughes,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Chief
Justice",Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
Owen Josephus Roberts,https://en.wikipedia.org/wiki/Owen_Josephus_Roberts,male,PA,https://en.wikipedia.org/wiki/Pennsylvania,"Associate
Justice",Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
Benjamin N. Cardozo,https://en.wikipedia.org/wiki/Benjamin_N._Cardozo,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
Hugo Black,https://en.wikipedia.org/wiki/Hugo_Black,male,AL,https://en.wikipedia.org/wiki/Alabama,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Stanley Forman Reed,https://en.wikipedia.org/wiki/Stanley_Forman_Reed,male,KY,https://en.wikipedia.org/wiki/Kentucky,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Felix Frankfurter,https://en.wikipedia.org/wiki/Felix_Frankfurter,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
William O. Douglas,https://en.wikipedia.org/wiki/William_O._Douglas,male,CT,https://en.wikipedia.org/wiki/Connecticut,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Frank Murphy,https://en.wikipedia.org/wiki/Frank_Murphy,male,MI,https://en.wikipedia.org/wiki/Michigan,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Harlan F. Stone,https://en.wikipedia.org/wiki/Harlan_F._Stone,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Chief
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
James F. Byrnes,https://en.wikipedia.org/wiki/James_F._Byrnes,male,SC,https://en.wikipedia.org/wiki/South_Carolina,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Robert H. Jackson,https://en.wikipedia.org/wiki/Robert_H._Jackson,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Wiley Blount Rutledge,https://en.wikipedia.org/wiki/Wiley_Blount_Rutledge,male,IA,https://en.wikipedia.org/wiki/Iowa,"Associate
Justice",Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Harold Hitz Burton,https://en.wikipedia.org/wiki/Harold_Hitz_Burton,male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman
Fred M. Vinson,https://en.wikipedia.org/wiki/Fred_M._Vinson,male,KY,https://en.wikipedia.org/wiki/Kentucky,"Chief
Justice",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman
Tom C. Clark,https://en.wikipedia.org/wiki/Tom_C._Clark,male,TX,https://en.wikipedia.org/wiki/Texas,"Associate
Justice",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman
Sherman Minton,https://en.wikipedia.org/wiki/Sherman_Minton,male,IN,https://en.wikipedia.org/wiki/Indiana,"Associate
Justice",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman
